Input name	RefMet name	Formula	Mass	REGNO
plasmenyl-PE 38:1	PE(P-38:1)/PE(O-38:2)	C43H84NO7P	757.5985	
plasmenyl-PE 38:2	PE(P-38:2)/PE(O-38:3)	C43H82NO7P	755.5829	
plasmenyl-PE 38:3	PE(P-38:3)/PE(O-38:4)	C43H80NO7P	753.5672	
plasmenyl-PE 38:4	PE(P-38:4)/PE(O-38:5)	C43H78NO7P	751.5516	
plasmenyl-PE 38:4	PE(P-38:4)/PE(O-38:5)	C43H78NO7P	751.5516	
plasmenyl-PE 38:5	PE(P-38:5)/PE(O-38:6)	C43H76NO7P	749.5359	
plasmenyl-PE 38:6	PE(P-38:6)/PE(O-38:7)	C43H74NO7P	747.5203	
plasmenyl-PE 40:4	PE(P-40:4)/PE(O-40:5)	C45H82NO7P	779.5829	
plasmenyl-PE 40:5	PE(P-40:5)/PE(O-40:6)	C45H80NO7P	777.5672	
plasmenyl-PE 40:6	PE(P-40:6)/PE(O-40:7)	C45H78NO7P	775.5516	
plasmenyl-PE 42:5	PE(P-42:5)/PE(O-42:6)	C47H84NO7P	805.5985	
Factors				
546.3560+@2.49				
572.3716+@2.6				
591.5634+@11.2				
664.6032+@9.27				
666.618+@11.29				
668.6032+@9.28				
690.6189+@10.65				
756.5543+@4.18				
762.6015+@6.39				
771.6380+@9.26				
780.5553+@4.31				
782.5700+@5.13				
784.5856+@5.18				
807.6380+@7.38				
808.5856+@5.08				
810.6008+@5.37				
830.5700+@6.51				
836.6170@7.00				
870.7546+@9.16				
872.7702+@9.37				
946.8797+@11.25				
CE(16:0)	CE(16:0)	C43H76O2	624.5845	34671
CE(16:1)	CE(16:1)	C43H74O2	622.5689	
CE(18:0)	CE(18:0)	C45H80O2	652.6158	34673
CE(18:1)	CE(18:1)	C45H78O2	650.6002	34669
CE(18:2)	CE(18:2)	C45H76O2	648.5845	34674
CE(18:3)	CE(18:3)	C45H74O2	646.5689	34675
CE(20:2)	CE(20:2)	C47H80O2	676.6158	34678
CE(20:3)	CE(20:3)	C47H78O2	674.6002	40920
CE(20:4)	CE(20:4)	C47H76O2	672.5845	
CE(20:5)	CE(20:5)	C47H74O2	670.5689	
CE(22:4)	CE(22:4)	C49H80O2	700.6158	34684
CE(22:5)	CE(22:5)	C49H78O2	698.6002	40921
CE(22:6)	CE(22:6)	C49H76O2	696.5845	34685
Cer(d34:1)	Cer(d34:1)	C34H67NO3	537.5121	
Cer(d36:0)	Cer(d36:0)	C36H73NO3	567.5590	
Cer(d36:1)	Cer(d36:1)	C36H71NO3	565.5434	
Cer(d41:1)	Cer(d41:1)	C41H81NO3	635.6216	
Cer(d42:1)	Cer(d42:1)	C42H83NO3	649.6373	
Cer(d42:1)	Cer(d42:1)	C42H83NO3	649.6373	
Cer(d42:1)	Cer(d42:1)	C42H83NO3	649.6373	
Cer(d42:2)	Cer(d42:2)	C42H81NO3	647.6216	
Cer(d42:2)	Cer(d42:2)	C42H81NO3	647.6216	
Cer(t44:1)	Cer(t44:1)	C44H87NO4	693.6635	
Cer(t45:1)	Cer(t45:1)	C45H89NO4	707.6792	
CerP(t39:1)				
DG 32:0	DG(32:0)	C35H68O5	568.5067	
DG 32:1	DG(32:1)	C35H66O5	566.4910	
DG 32:2	DG(32:2)	C35H64O5	564.4754	
DG 33:2	DG(33:2)	C36H66O5	578.491025	
DG 34:0	DG(34:0)	C37H72O5	596.5380	
DG 34:2	DG(34:2)	C37H68O5	592.5067	
DG 34:3	DG(34:3)	C37H66O5	590.4910	
DG 35:1	DG(35:1)	C38H72O5	608.5380	
DG 35:2	DG(35:2)	C38H70O5	606.5223	
DG 36:0	DG(36:0)	C39H76O5	624.5693	
DG 36:1	DG(36:1)	C39H74O5	622.5536	
DG 36:2	DG(36:2)	C39H72O5	620.5380	
DG 36:3	DG(36:3)	C39H70O5	618.5223	
DG 36:4	DG(36:4)	C39H68O5	616.5067	
DG 36:5	DG(36:5)	C39H66O5	614.4910	
DG 38:1	DG(38:1)	C41H78O5	650.5849	
DG 38:2	DG(38:2)	C41H76O5	648.5693	
DG 38:3	DG(38:3)	C41H74O5	646.5536	
DG 38:4	DG(38:4)	C41H72O5	644.5380	
DG 38:5	DG(38:5)	C41H70O5	642.5223	
DG 38:6	DG(38:6)	C41H68O5	640.5067	
DG 40:6	DG(40:6)	C43H72O5	668.5380	
DG 40:7	DG(40:7)	C43H70O5	666.5223	
DG(60:1)	DG(60:1)	C63H122O5	958.929225	
IS CE 17:0				
IS Ceramide				
IS D31-TAG				
IS DG 34:1				
IS MG 17:0				
IS PC 34:0				
IS PE 34:0				
IS PS 34:0				
IS SM 35:1				
IS TG 51:0				
IS d5-DAG				
IS lysoPC 17:0				
LPC(20:2)	LPC(20:2)	C28H54NO7P	547.3638	
LPC(22:1)	LPC(22:1)	C30H60NO7P	577.4107	
LPC(32:0)	LPC(32:0)	C40H82NO7P	719.582892	
LPC(P-18:0)	LPC(P-18:0)/LPC(O-18:1)	C26H54NO6P	507.3689	
LPE(32:1)				
LPE(P-16:0)	LPE(P-16:0)/LPE(O-16:1)	C21H44NO6P	437.2906	16410
LPE(P-18:0)	LPE(P-18:0)/LPE(O-18:1)	C23H48NO6P	465.3219	
LPE(P-20:0)	LPE(P-20:0)/LPE(O-20:1)	C25H52NO6P	493.3532	
MG 17:0	MG(17:0)	C20H40O4	344.2927	
PA(P-47:3)				
PC 19:1	PC(19:1)	C27H52NO8P	549.343057	
PC 26:0	PC(26:0)	C34H68NO8P	649.4683	
PC 29:0	PC(29:0)	C37H74NO8P	691.5152	
PC 30:0	PC(30:0)	C38H76NO8P	705.5309	
PC 30:0	PC(30:0)	C38H76NO8P	705.5309	
PC 30:1	PC(30:1)	C38H74NO8P	703.5152	
PC 30:3	PC(30:3)	C38H70NO8P	699.4839	
PC 32:0	PC(32:0)	C40H80NO8P	733.5622	
PC 32:1	PC(32:1)	C40H78NO8P	731.5465	
PC 32:2	PC(32:2)	C40H76NO8P	729.5309	
PC 32:3	PC(32:3)	C40H74NO8P	727.5152	
PC 33:2	PC(33:2)	C41H78NO8P	743.5465	
PC 33:2	PC(33:2)	C41H78NO8P	743.5465	
PC 33:3	PC(33:3)	C41H76NO8P	741.5309	
PC 34:4	PC(34:4)	C42H76NO8P	753.5309	
PC 34:4	PC(34:4)	C42H76NO8P	753.5309	
PC 34:5	PC(34:5)	C42H74NO8P	751.5152	
PC 35:5	PC(35:5)	C43H76NO8P	765.5309	
PC 36:4	PC(36:4)	C44H80NO8P	781.5622	
PC 36:5	PC(36:5)	C44H78NO8P	779.5465	
PC 36:6	PC(36:6)	C44H76NO8P	777.5309	
PC 36:7	PC(36:7)	C44H74NO8P	775.5152	
PC 37:1	PC(37:1)	C45H88NO8P	801.6248	
PC 37:6	PC(37:6)	C45H78NO8P	791.5465	
PC 38:6	PC(38:6)	C46H80NO8P	805.5622	
PC 38:7	PC(38:7)	C46H78NO8P	803.5465	
PC 38:7	PC(38:7)	C46H78NO8P	803.5465	
PC 38:8	PC(38:8)	C46H76NO8P	801.5309	
PC 38:9	PC(38:9)	C46H74NO8P	799.5152	
PC 39:3	PC(39:3)	C47H88NO8P	825.624757	
PC 39:4	PC(39:4)	C47H86NO8P	823.6091	
PC 40:10	PC(40:10)	C48H76NO8P	825.5309	
PC 40:2	PC(40:2)	C48H92NO8P	841.6561	
PC 40:4	PC(40:4)	C48H88NO8P	837.6248	
PC 40:5	PC(40:5)	C48H86NO8P	835.6091	
PC 40:9	PC(40:9)	C48H78NO8P	827.5465	
PC 42:10	PC(42:10)	C50H80NO8P	853.5622	
PC 42:2	PC(42:2)	C50H96NO8P	869.6874	
PC 42:4	PC(42:4)	C50H92NO8P	865.6561	
PC 42:8	PC(42:8)	C50H84NO8P	857.5935	
PC 42:9	PC(42:9)	C50H82NO8P	855.5778	
PC 44:5	PC(44:5)	C52H94NO8P	891.6717	
PC(28:0)	PC(28:0)	C36H72NO8P	677.4996	
PC(31:0)	PC(31:0)	C39H78NO8P	719.5465	
PC(31:1)	PC(31:1)	C39H76NO8P	717.5309	
PC(32:0)	PC(32:0)	C40H80NO8P	733.5622	
PC(32:1)	PC(32:1)	C40H78NO8P	731.5465	
PC(32:2)	PC(32:2)	C40H76NO8P	729.5309	
PC(33:1)	PC(33:1)	C41H80NO8P	745.5622	
PC(34:0)	PC(34:0)	C42H84NO8P	761.5935	
PC(34:1)	PC(34:1)	C42H82NO8P	759.5778	
PC(34:2)	PC(34:2)	C42H80NO8P	757.5622	
PC(34:3)	PC(34:3)	C42H78NO8P	755.5465	
PC(35:1)	PC(35:1)	C43H84NO8P	773.5935	
PC(35:3)	PC(35:3)	C43H80NO8P	769.5622	
PC(35:3)	PC(35:3)	C43H80NO8P	769.5622	
PC(36:1)	PC(36:1)	C44H86NO8P	787.6091	
PC(36:2)	PC(36:2)	C44H84NO8P	785.5935	
PC(36:3)	PC(36:3)	C44H82NO8P	783.5778	
PC(36:4)	PC(36:4)	C44H80NO8P	781.5622	
PC(36:5)	PC(36:5)	C44H78NO8P	779.5465	
PC(37:5)	PC(37:5)	C45H80NO8P	793.5622	
PC(38:2)	PC(38:2)	C46H88NO8P	813.6248	
PC(38:3)	PC(38:3)	C46H86NO8P	811.6091	
PC(38:4)	PC(38:4)	C46H84NO8P	809.5935	
PC(38:5)	PC(38:5)	C46H82NO8P	807.5778	
PC(38:6)	PC(38:6)	C46H80NO8P	805.5622	
PC(40:1)	PC(40:1)	C48H94NO8P	843.6717	
PC(40:3)	PC(40:3)	C48H90NO8P	839.6404	
PC(40:6)	PC(40:6)	C48H84NO8P	833.5935	
PC(40:7)	PC(40:7)	C48H82NO8P	831.5778	
PC(40:8)	PC(40:8)	C48H80NO8P	829.5622	
PC(42:3)	PC(42:3)	C50H94NO8P	867.6717	
PC(42:7)	PC(42:7)	C50H86NO8P	859.6091	
PC(O-36:0)	PC(O-36:0)	C44H90NO7P	775.6455	
